origin,destination,code
CPH,FRA,IB2818
CPH,LHR,U23631
CDG,MAD,IB8482
BCN,FRA,FR7521
CPH,FCO,TK4667
CPH,FCO,U24631
FCO,CDG,VY4335
LHR,IST,TK8891
FRA,AMS,U24107
CPH,BCN,U22593
BCN,IST,VY9890
AMS,CPH,TK4927
FCO,MAD,BA1164
CPH,LHR,BA7710
BCN,AMS,U24985
MAD,CDG,IB9961
LHR,FRA,LH2118
IST,FRA,IB8911
AMS,FRA,TK2372
FRA,IST,LH4145
MAD,CDG,IB6112
CPH,FRA,LH1678
LHR,CPH,LH6620
MAD,LHR,TK4199
MAD,CDG,IB7403
FRA,CPH,BA4369
BCN,MAD,IB2171
IST,LHR,LH6412
IST,MAD,LH1115
LHR,LHR,VY8162
FRA,LHR,BA8162
AMS,FCO,BA7610
LHR,IST,LH1085
FCO,FRA,U21423
CPH,MAD,U23282
CDG,CPH,LH5778
CPH,CDG,BA2777
BCN,LHR,TK4375
MAD,FCO,LH8408
AMS,IST,IB4563
LHR,FCO,LH5174
MAD,BCN,BA9569
AMS,FRA,TK2659
LHR,CDG,IB2771
IST,MAD,IB8688
CPH,AMS,TK8355
FCO,CDG,VY2974
AMS,FRA,LH5909
CPH,BCN,FR7949
BCN,CPH,U27858
FRA,AMS,LH2320
LHR,BCN,VY4633
AMS,IST,IB7289
FRA,LHR,IB9443
IST,FCO,LH4948
IST,BCN,TK5558
BCN,BCN,BA9409
IST,AMS,FR9261
CDG,IST,IB7181
LHR,BCN,TK1446
FCO,FRA,TK2793
AMS,CPH,FR1491
IST,BCN,IB9219
MAD,AMS,TK7871
FCO,AMS,VY4840
MAD,FRA,BA8982
IST,LHR,U23526
FRA,MAD,BA6773
CDG,CPH,IB5257
CPH,CDG,LH8545
LHR,AMS,IB4737
BCN,MAD,LH5496
CDG,LHR,U29718
LHR,AMS,BA9561
FRA,LHR,TK3167
IST,FRA,FR4727
CPH,IST,LH6320
LHR,AMS,BA6657
LHR,FRA,TK5342
IST,LHR,IB4938
CDG,BCN,VY9791
MAD,LHR,IB4124
FRA,MAD,BA7842
AMS,FCO,VY5092
CDG,LHR,BA9813
FRA,IST,BA2421
IST,CPH,U28059
CDG,CPH,TK2044
MAD,AMS,LH7260
